Wall time,Step,Value
1734113608.163836,65445,-348.2519836425781
1734113616.7628357,66120,-350.2426452636719
1734113656.667836,69216,-329.94635009765625
1734113663.079837,69713,-330.0535583496094
1734113665.984836,69938,-330.300537109375
1734113713.9348357,73653,-303.9638671875
1734113725.3128371,74536,-296.4058837890625
1734113734.3358357,75224,-288.44134521484375
1734113735.8528347,75346,-289.34716796875
1734113756.2918372,76934,-273.12615966796875
1734113769.4228354,77963,-268.8199157714844
1734113780.852837,78859,-262.1795959472656
1734113848.9718366,84149,-287.82977294921875
1734113854.7458363,84602,-285.0437927246094
1734113883.2718358,86809,-296.5406494140625
1734113916.5488348,89399,-331.038818359375
1734113936.255836,90911,-313.7785339355469
1734113948.0028362,91814,-287.9872741699219
1734113957.5398355,92555,-268.1199035644531
1734113983.5828373,94590,-244.6984100341797
1734114006.6958368,96361,-221.147216796875
1734114025.500837,97804,-225.33914184570312
1734114061.688021,100592,-231.22265625
1734114074.8590348,101607,-228.08009338378906
1734114104.4560337,103908,-215.8365936279297
1734114191.6020358,110629,-205.50213623046875
1734114280.9140325,117371,-172.77757263183594
1734114288.3800328,117932,-169.09323120117188
1734114304.5320327,119174,-166.0818328857422
1734114314.6570337,119960,-168.8372802734375
1734114320.7650328,120408,-167.84823608398438
1734114323.7380323,120633,-167.55178833007812
1734114336.7510328,121651,-162.10569763183594
1734114363.963035,123766,-156.6487579345703
1734114386.2760313,125471,-156.4915008544922
1734114395.0360334,126126,-157.49331665039062
1734114425.620032,128502,-158.13406372070312
1734114434.4420328,129192,-164.98016357421875
1734114441.979034,129780,-169.8022003173828
1734114444.8080328,129999,-167.82217407226562
1734114465.1400325,131557,-169.66427612304688
1734114475.138033,132334,-162.2011260986328
1734114495.3010328,133899,-151.6501007080078
1734114502.4380329,134460,-147.458740234375
1734114503.8940318,134572,-147.88597106933594
1734114521.7830312,135939,-147.44960021972656
1734114536.3260348,137073,-144.31646728515625
1734114539.2050333,137301,-144.24313354492188
1734114551.0400312,138214,-145.98875427246094
1734114564.8370326,139285,-146.5217742919922
1734114601.9430325,142152,-136.87152099609375
1734114612.3630326,142959,-138.3999481201172
1734114644.8010325,145448,-139.7965545654297
1734114653.9410324,146153,-136.85816955566406
1734114656.9360328,146385,-137.06423950195312
1734114661.4490323,146737,-138.0945281982422
1734114667.4580321,147211,-139.28883361816406
1734114676.693033,147922,-138.67263793945312
1734114683.5660317,148393,-136.43336486816406
1734114691.2580335,148988,-138.09976196289062
1734114726.4820333,151659,-139.72608947753906
1734114769.0430322,154928,-132.13906860351562
1734114802.3770323,157392,-143.2213592529297
1734114826.860032,159281,-137.58958435058594
1734114833.1820328,159770,-135.9222412109375
